id,first_name,last_name,email,country,cost,add_placements,order_date,prime_member
1,Kathy,Romero,kromero0@prweb.com,Russia,$560.29,6444,8/7/2014,false
2,Elizabeth,Tucker,etucker1@weebly.com,Thailand,$852.93,6618,4/24/2015,false
3,Marilyn,Welch,mwelch2@bluehost.com,China,$548.59,8531,5/10/2015,false
4,Paula,Webb,pwebb3@de.vu,Bulgaria,,5154,9/26/2014,false
5,Andrea,Williams,awilliams4@netlog.com,Thailand,$638.42,3255,7/12/2014,false
6,Jack,Nguyen,jnguyen5@github.com,Iran,NA,1656,9/7/2014,true
7,Jennifer,Palmer,jpalmer6@booking.com,Indonesia,$392.67,7745,8/17/2014,true
8,Robert,Ford,rford7wix.com,United States,$861.79,4560,9/15/2014,false
9,Patricia,Davis,pdavis8@usgs.gov,Japan,$259.60,8137,5/23/2015,false
10,Helen,Lawson,hlawson9@google.co.uk,Albania,$216.58,7557,10/7/2014,true
11,Craig,Cox,ccoxa@omniture.com,Spain,$911.91,5014,1/13/2015,true
12,Alan,Carroll,acarrollb@hubpages.com,China,$840.30,2778,2/19/2015,false
13,Andrea,Clark,aclarkc@squarespace.com,Thailand,$298.93,252,12/17/2014,true
14,Margaret,Simpson,msimpsond@state.gov,Jamaica,$258.54,9536,10/7/2014,true
15,Julie,Cunningham,jcunninghame@chicagotribune.com,South Africa,$924.68,2703,3/7/2015,true
16,Elizabeth,Davis,edavisf@squidoo.com,Czech Republic,$898.25,6185,6/10/2014,false
17,Teresa,Hawkins,thawkinsg@yellowpages.com,China,$655.97,4465,2/1/2015,true
18,Jimmy,Ferguson,jfergusonh@goodreads.com,Indonesia,$204.65,1078,4/26/2015,true
19,Lori,Burke,lburkei@,Japan,$704.31,8478,5/10/2015,true
20,Peter,Richards,prichardsj@hud.gov,Indonesia,$523.01,8000,9/8/2014,false
21,Catherine,Hudson,chudsonk@nytimes.com,Portugal,$215.00,7701,12/26/2014,false
22,Anthony,Fields,afieldsl@blogs.com,N/A,$408.95,1648,1/9/2015,true
23,Jason,Frazier,jfrazierm@opera.com,Sweden,$375.15,1761,9/6/2014,false
24,Tammy,Campbell,tcampbelln@issuu.com,,$345.86,2381,2/1/2015,true
25,Emily,Garrett,egarretto@bloglovin.com,Yemen,$516.84,2915,11/29/2014,true
26,Howard,Spencer,hspencerp@sun.com,Georgia,$46.29,6023,3/29/2015,false
27,Ruth,West,rwestq@omniture.com,France,$98.24,5058,-10/24/2014,true
28,Michael,Dean,mdeanr@ow.ly,China,$833.57,7642,12/6/2014,true
29,Ann,Rivera,ariveras@indiatimes.com,Poland,$572.07,145,8/16/2014,true
30,Gerald,Cooper,gcoopert@fc2.com,Argentina,$742.93,2584,9/8/2014,false
31,Janice,Lopez,jlopezu@theatlantic.com,Lithuania,$806.61,5037,12/12/2014,true
32,Emily,Lopez,elopezv@economist.com,Sweden,$834.68,3639,2/8/2015,false
33,James,Richardson,jrichardsonw@xing.com,Philippines,$728.78,7297,3/16/2015,true
34,Mark,Vasquez,mvasquezx@mozilla.com,Poland,$631.49,1521,3/30/2015,false
35,Kevin,Garcia,kgarciay@hao123.com,Greece,$254.69,1624,4/3/2015,true
